"filename", "language", "JSON", "TypeScript", "Pug", "JSON with Comments", "JavaScript", "comment", "blank", "total"
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\workerDashboard.js", "JavaScript", 0, 0, 0, 0, 62, 4, 0, 66
"d:\Lenovo\Documents\Project2CP\dist\controller\dealController.js", "JavaScript", 0, 0, 0, 0, 27, 1, 0, 28
"d:\Lenovo\Documents\Project2CP\dist\controller\dealController\checkOwnerDeal.js", "JavaScript", 0, 0, 0, 0, 38, 3, 0, 41
"d:\Lenovo\Documents\Project2CP\dist\controller\dealController\createDeal.js", "JavaScript", 0, 0, 0, 0, 40, 1, 0, 41
"d:\Lenovo\Documents\Project2CP\dist\controller\dealController\finishDeal.js", "JavaScript", 0, 0, 0, 0, 40, 1, 0, 41
"d:\Lenovo\Documents\Project2CP\dist\controller\dealController\getMyDeals.js", "JavaScript", 0, 0, 0, 0, 31, 15, 0, 46
"d:\Lenovo\Documents\Project2CP\dist\controller\dealController\updateDeal.js", "JavaScript", 0, 0, 0, 0, 31, 1, 0, 32
"d:\Lenovo\Documents\Project2CP\dist\controller\errorController.js", "JavaScript", 0, 0, 0, 0, 75, 27, 0, 102
"d:\Lenovo\Documents\Project2CP\dist\controller\handlerFactory.js", "JavaScript", 0, 0, 0, 0, 63, 17, 0, 80
"d:\Lenovo\Documents\Project2CP\dist\controller\portfolioPostController.ts\checkOwnerPortfolioPost.js", "JavaScript", 0, 0, 0, 0, 14, 1, 0, 15
"d:\Lenovo\Documents\Project2CP\dist\controller\portfolioPostController.ts\createPortfolioPost.js", "JavaScript", 0, 0, 0, 0, 27, 1, 0, 28
"d:\Lenovo\Documents\Project2CP\dist\controller\portfolioPostController.ts\deletePortfolioPost.js", "JavaScript", 0, 0, 0, 0, 25, 3, 0, 28
"d:\Lenovo\Documents\Project2CP\dist\controller\portfolioPostController.ts\getPortfolioPostById.js", "JavaScript", 0, 0, 0, 0, 78, 1, 0, 79
"d:\Lenovo\Documents\Project2CP\dist\controller\portfolioPostController.ts\likePortfolioPost.js", "JavaScript", 0, 0, 0, 0, 42, 2, 0, 44
"d:\Lenovo\Documents\Project2CP\dist\controller\portfolioPostController.ts\updatePortfolioPost.js", "JavaScript", 0, 0, 0, 0, 73, 5, 0, 78
"d:\Lenovo\Documents\Project2CP\dist\controller\postController.js", "JavaScript", 0, 0, 0, 0, 21, 1, 0, 22
"d:\Lenovo\Documents\Project2CP\dist\controller\postController\checkOwnerPost.js", "JavaScript", 0, 0, 0, 0, 20, 1, 0, 21
"d:\Lenovo\Documents\Project2CP\dist\controller\postController\createPost.js", "JavaScript", 0, 0, 0, 0, 43, 1, 0, 44
"d:\Lenovo\Documents\Project2CP\dist\controller\postController\deletePost.js", "JavaScript", 0, 0, 0, 0, 23, 2, 0, 25
"d:\Lenovo\Documents\Project2CP\dist\controller\postController\getPost.js", "JavaScript", 0, 0, 0, 0, 29, 1, 0, 30
"d:\Lenovo\Documents\Project2CP\dist\controller\postController\savePost.js", "JavaScript", 0, 0, 0, 0, 42, 1, 0, 43
"d:\Lenovo\Documents\Project2CP\dist\controller\postController\updatePost.js", "JavaScript", 0, 0, 0, 0, 62, 5, 0, 67
"d:\Lenovo\Documents\Project2CP\dist\controller\reviewController.js", "JavaScript", 0, 0, 0, 0, 23, 1, 0, 24
"d:\Lenovo\Documents\Project2CP\dist\controller\reviewController\checkOwnerReview.js", "JavaScript", 0, 0, 0, 0, 23, 1, 0, 24
"d:\Lenovo\Documents\Project2CP\dist\controller\reviewController\createReview.js", "JavaScript", 0, 0, 0, 0, 39, 2, 0, 41
"d:\Lenovo\Documents\Project2CP\dist\controller\reviewController\deleteReview.js", "JavaScript", 0, 0, 0, 0, 22, 2, 0, 24
"d:\Lenovo\Documents\Project2CP\dist\controller\reviewController\getMyReviews.js", "JavaScript", 0, 0, 0, 0, 23, 15, 0, 38
"d:\Lenovo\Documents\Project2CP\dist\controller\reviewController\updateReview.js", "JavaScript", 0, 0, 0, 0, 29, 1, 0, 30
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController.js", "JavaScript", 0, 0, 0, 0, 22, 1, 0, 23
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController\deleteCloudinary.js", "JavaScript", 0, 0, 0, 0, 15, 1, 0, 16
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController\multerStorage.js", "JavaScript", 0, 0, 0, 0, 56, 25, 0, 81
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController\upload.js", "JavaScript", 0, 0, 0, 0, 25, 1, 0, 26
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController\uploadCert.js", "JavaScript", 0, 0, 0, 0, 32, 7, 0, 39
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController\uploadCertificate.js", "JavaScript", 0, 0, 0, 0, 67, 9, 0, 76
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController\uploadId.js", "JavaScript", 0, 0, 0, 0, 35, 7, 0, 42
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController\uploadImages.js", "JavaScript", 0, 0, 0, 0, 40, 23, 0, 63
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController\uploadPfp.js", "JavaScript", 0, 0, 0, 0, 36, 7, 0, 43
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController\uploadPortfolioPostImages.js", "JavaScript", 0, 0, 0, 0, 45, 23, 1, 69
"d:\Lenovo\Documents\Project2CP\dist\controller\userController.js", "JavaScript", 0, 0, 0, 0, 19, 1, 0, 20
"d:\Lenovo\Documents\Project2CP\dist\controller\userController\ToggleFavoriteWorker.js", "JavaScript", 0, 0, 0, 0, 56, 1, 0, 57
"d:\Lenovo\Documents\Project2CP\dist\controller\userController\editMe.js", "JavaScript", 0, 0, 0, 0, 64, 17, 0, 81
"d:\Lenovo\Documents\Project2CP\dist\controller\userController\editMeUser.js", "JavaScript", 0, 0, 0, 0, 69, 16, 0, 85
"d:\Lenovo\Documents\Project2CP\dist\controller\userController\getAllUsers.js", "JavaScript", 0, 0, 0, 0, 36, 2, 0, 38
"d:\Lenovo\Documents\Project2CP\dist\controller\userController\getMe.js", "JavaScript", 0, 0, 0, 0, 8, 1, 0, 9
