"filename", "language", "TypeScript", "Pug", "JSON", "comment", "blank", "total"
"d:\Lenovo\Documents\Project2CP\src\controller\uploadController\uploadId.ts", "TypeScript", 35, 0, 0, 6, 9, 50
"d:\Lenovo\Documents\Project2CP\src\controller\uploadController\uploadImages.ts", "TypeScript", 41, 0, 0, 22, 4, 67
"d:\Lenovo\Documents\Project2CP\src\controller\uploadController\uploadPfp.ts", "TypeScript", 32, 0, 0, 6, 11, 49
"d:\Lenovo\Documents\Project2CP\src\controller\userController.ts", "TypeScript", 54, 0, 0, 0, 4, 58
"d:\Lenovo\Documents\Project2CP\src\controller\userController\ToggleFavoriteWorker.ts", "TypeScript", 63, 0, 0, 0, 6, 69
"d:\Lenovo\Documents\Project2CP\src\controller\userController\editMe.ts", "TypeScript", 80, 0, 0, 16, 8, 104
"d:\Lenovo\Documents\Project2CP\src\controller\userController\editMeUser.ts", "TypeScript", 83, 0, 0, 17, 16, 116
"d:\Lenovo\Documents\Project2CP\src\controller\userController\getAllUsers.ts", "TypeScript", 39, 0, 0, 1, 7, 47
"d:\Lenovo\Documents\Project2CP\src\controller\userController\getMap.ts", "TypeScript", 47, 0, 0, 2, 8, 57
"d:\Lenovo\Documents\Project2CP\src\controller\userController\getMe.ts", "TypeScript", 6, 0, 0, 0, 2, 8
"d:\Lenovo\Documents\Project2CP\src\controller\validationRequestController.ts", "TypeScript", 166, 0, 0, 14, 13, 193
"d:\Lenovo\Documents\Project2CP\src\controller\workerController.ts", "TypeScript", 52, 0, 0, 0, 3, 55
"d:\Lenovo\Documents\Project2CP\src\controller\workerController\bestWorkers.ts", "TypeScript", 56, 0, 0, 1, 10, 67
"d:\Lenovo\Documents\Project2CP\src\controller\workerController\certificatesController.ts", "TypeScript", 217, 0, 0, 18, 21, 256
"d:\Lenovo\Documents\Project2CP\src\controller\workerController\editMeWorker.ts", "TypeScript", 21, 0, 0, 11, 5, 37
"d:\Lenovo\Documents\Project2CP\src\controller\workerController\getMyRequests.ts", "TypeScript", 60, 0, 0, 0, 8, 68
"d:\Lenovo\Documents\Project2CP\src\controller\workerController\getSavedPosts.ts", "TypeScript", 44, 0, 0, 0, 5, 49
"d:\Lenovo\Documents\Project2CP\src\controller\workerController\portfolioPostsController.ts", "TypeScript", 24, 0, 0, 0, 3, 27
"d:\Lenovo\Documents\Project2CP\src\controller\workerController\workerCRUD.ts", "TypeScript", 107, 0, 0, 9, 12, 128
"d:\Lenovo\Documents\Project2CP\src\easyhome-project2cp-firebase-adminsdk-oypl8-e6a828557a.json", "JSON", 0, 0, 13, 0, 1, 14
"d:\Lenovo\Documents\Project2CP\src\firebase.ts", "TypeScript", 16, 0, 0, 7, 6, 29
"d:\Lenovo\Documents\Project2CP\src\models\Application.ts", "TypeScript", 75, 0, 0, 19, 9, 103
"d:\Lenovo\Documents\Project2CP\src\models\Certificate.ts", "TypeScript", 56, 0, 0, 1, 5, 62
"d:\Lenovo\Documents\Project2CP\src\models\Deal.ts", "TypeScript", 91, 0, 0, 2, 11, 104
"d:\Lenovo\Documents\Project2CP\src\models\Like.ts", "TypeScript", 16, 0, 0, 0, 5, 21
"d:\Lenovo\Documents\Project2CP\src\models\Notification.ts", "TypeScript", 120, 0, 0, 96, 10, 226
"d:\Lenovo\Documents\Project2CP\src\models\PortfolioPost.ts", "TypeScript", 47, 0, 0, 1, 6, 54
"d:\Lenovo\Documents\Project2CP\src\models\Post.ts", "TypeScript", 71, 0, 0, 2, 7, 80
"d:\Lenovo\Documents\Project2CP\src\models\Review.ts", "TypeScript", 94, 0, 0, 7, 16, 117
"d:\Lenovo\Documents\Project2CP\src\models\User.ts", "TypeScript", 63, 0, 0, 151, 3, 217
"d:\Lenovo\Documents\Project2CP\src\models\UserDoc.ts", "TypeScript", 36, 0, 0, 9, 4, 49
"d:\Lenovo\Documents\Project2CP\src\models\Worker.ts", "TypeScript", 113, 0, 0, 45, 14, 172
"d:\Lenovo\Documents\Project2CP\src\models\WorkerDoc.ts", "TypeScript", 34, 0, 0, 7, 4, 45
"d:\Lenovo\Documents\Project2CP\src\models\data.ts", "TypeScript", 148, 0, 0, 77, 15, 240
"d:\Lenovo\Documents\Project2CP\src\models\validationRequest.ts", "TypeScript", 96, 0, 0, 16, 10, 122
"d:\Lenovo\Documents\Project2CP\src\routes\applicationRouter.ts", "TypeScript", 43, 0, 0, 1, 12, 56
"d:\Lenovo\Documents\Project2CP\src\routes\authRouter.ts", "TypeScript", 36, 0, 0, 4, 5, 45
"d:\Lenovo\Documents\Project2CP\src\routes\certificateRouter.ts", "TypeScript", 27, 0, 0, 1, 8, 36
"d:\Lenovo\Documents\Project2CP\src\routes\dashboardRouter.ts", "TypeScript", 110, 0, 0, 6, 15, 131
"d:\Lenovo\Documents\Project2CP\src\routes\dealRouter.ts", "TypeScript", 48, 0, 0, 2, 11, 61
"d:\Lenovo\Documents\Project2CP\src\routes\modRouter.ts", "TypeScript", 195, 0, 0, 28, 35, 258
"d:\Lenovo\Documents\Project2CP\src\routes\notificationRouter.ts", "TypeScript", 19, 0, 0, 0, 8, 27
"d:\Lenovo\Documents\Project2CP\src\routes\portfolioRouter.ts", "TypeScript", 42, 0, 0, 2, 8, 52
"d:\Lenovo\Documents\Project2CP\src\routes\postRouter.ts", "TypeScript", 49, 0, 0, 2, 14, 65
"d:\Lenovo\Documents\Project2CP\src\routes\reviewRouter.ts", "TypeScript", 36, 0, 0, 0, 11, 47
"d:\Lenovo\Documents\Project2CP\src\routes\userRouter.ts", "TypeScript", 86, 0, 0, 11, 20, 117
"d:\Lenovo\Documents\Project2CP\src\routes\validationRequestRouter.ts", "TypeScript", 16, 0, 0, 0, 7, 23
"d:\Lenovo\Documents\Project2CP\src\routes\workerRouter.ts", "TypeScript", 102, 0, 0, 11, 21, 134
"d:\Lenovo\Documents\Project2CP\src\server.ts", "TypeScript", 53, 0, 0, 65, 19, 137
"d:\Lenovo\Documents\Project2CP\src\serverOnline.ts", "TypeScript", 43, 0, 0, 7, 11, 61
"d:\Lenovo\Documents\Project2CP\src\utils\APIFeatures.ts", "TypeScript", 28, 0, 0, 87, 8, 123
"d:\Lenovo\Documents\Project2CP\src\utils\appError.ts", "TypeScript", 13, 0, 0, 0, 2, 15
"d:\Lenovo\Documents\Project2CP\src\utils\catchAsync.ts", "TypeScript", 17, 0, 0, 2, 3, 22
"d:\Lenovo\Documents\Project2CP\src\utils\email.ts", "TypeScript", 77, 0, 0, 78, 18, 173
