"filename", "language", "JSON with Comments", "JSON", "JavaScript", "Pug", "comment", "blank", "total"
"d:\Lenovo\Documents\Project2CP\dist\models\Like.js", "JavaScript", 0, 0, -18, 0, -1, 0, -19
"d:\Lenovo\Documents\Project2CP\dist\models\Notification.js", "JavaScript", 0, 0, -108, 0, -67, 0, -175
"d:\Lenovo\Documents\Project2CP\dist\models\PortfolioPost.js", "JavaScript", 0, 0, -41, 0, -2, 0, -43
"d:\Lenovo\Documents\Project2CP\dist\models\Post.js", "JavaScript", 0, 0, -61, 0, -3, 0, -64
"d:\Lenovo\Documents\Project2CP\dist\models\Review.js", "JavaScript", 0, 0, -86, 0, -8, 0, -94
"d:\Lenovo\Documents\Project2CP\dist\models\User.js", "JavaScript", 0, 0, -67, 0, -127, 0, -194
"d:\Lenovo\Documents\Project2CP\dist\models\UserDoc.js", "JavaScript", 0, 0, -8, 0, -1, 0, -9
"d:\Lenovo\Documents\Project2CP\dist\models\Worker.js", "JavaScript", 0, 0, -113, 0, -46, 0, -159
"d:\Lenovo\Documents\Project2CP\dist\models\WorkerDoc.js", "JavaScript", 0, 0, -15, 0, -1, 0, -16
"d:\Lenovo\Documents\Project2CP\dist\models\data.js", "JavaScript", 0, 0, -150, 0, -78, 0, -228
"d:\Lenovo\Documents\Project2CP\dist\models\validationRequest.js", "JavaScript", 0, 0, -81, 0, -9, 0, -90
"d:\Lenovo\Documents\Project2CP\dist\routes\applicationRouter.js", "JavaScript", 0, 0, -22, 0, -2, 0, -24
"d:\Lenovo\Documents\Project2CP\dist\routes\authRouter.js", "JavaScript", 0, 0, -32, 0, -5, 0, -37
"d:\Lenovo\Documents\Project2CP\dist\routes\certificateRouter.js", "JavaScript", 0, 0, -19, 0, -2, 0, -21
"d:\Lenovo\Documents\Project2CP\dist\routes\dashboardRouter.js", "JavaScript", 0, 0, -71, 0, -7, 0, -78
"d:\Lenovo\Documents\Project2CP\dist\routes\dealRouter.js", "JavaScript", 0, 0, -23, 0, -3, 0, -26
"d:\Lenovo\Documents\Project2CP\dist\routes\modRouter.js", "JavaScript", 0, 0, -200, 0, -29, 0, -229
"d:\Lenovo\Documents\Project2CP\dist\routes\notificationRouter.js", "JavaScript", 0, 0, -15, 0, -1, 0, -16
"d:\Lenovo\Documents\Project2CP\dist\routes\portfolioRouter.js", "JavaScript", 0, 0, -17, 0, -3, 0, -20
"d:\Lenovo\Documents\Project2CP\dist\routes\postRouter.js", "JavaScript", 0, 0, -23, 0, -3, 0, -26
"d:\Lenovo\Documents\Project2CP\dist\routes\reviewRouter.js", "JavaScript", 0, 0, -19, 0, -1, 0, -20
"d:\Lenovo\Documents\Project2CP\dist\routes\userRouter.js", "JavaScript", 0, 0, -37, 0, -12, 0, -49
"d:\Lenovo\Documents\Project2CP\dist\routes\validationRequestRouter.js", "JavaScript", 0, 0, -15, 0, -1, 0, -16
"d:\Lenovo\Documents\Project2CP\dist\routes\workerRouter.js", "JavaScript", 0, 0, -48, 0, -12, 0, -60
"d:\Lenovo\Documents\Project2CP\dist\server.js", "JavaScript", 0, 0, -82, 0, -66, 0, -148
"d:\Lenovo\Documents\Project2CP\dist\serverOnline.js", "JavaScript", 0, 0, -49, 0, -8, 0, -57
"d:\Lenovo\Documents\Project2CP\dist\utils\APIFeatures.js", "JavaScript", 0, 0, -27, 0, -79, 0, -106
"d:\Lenovo\Documents\Project2CP\dist\utils\appError.js", "JavaScript", 0, 0, -15, 0, -1, 0, -16
"d:\Lenovo\Documents\Project2CP\dist\utils\catchAsync.js", "JavaScript", 0, 0, -7, 0, -3, 0, -10
"d:\Lenovo\Documents\Project2CP\dist\utils\email.js", "JavaScript", 0, 0, -73, 0, -79, 0, -152
"d:\Lenovo\Documents\Project2CP\dist\views\_footer.pug", "Pug", 0, 0, 0, -10, 0, -1, -11
"d:\Lenovo\Documents\Project2CP\dist\views\_header.pug", "Pug", 0, 0, 0, -14, 0, -1, -15
"d:\Lenovo\Documents\Project2CP\dist\views\_reviewCard.pug", "Pug", 0, 0, 0, -10, 0, -1, -11
"d:\Lenovo\Documents\Project2CP\dist\views\account.pug", "Pug", 0, 0, 0, -55, 0, -5, -60
"d:\Lenovo\Documents\Project2CP\dist\views\base.pug", "Pug", 0, 0, 0, -20, -8, -4, -32
"d:\Lenovo\Documents\Project2CP\dist\views\emails\_style.pug", "Pug", 0, 0, 0, -258, 0, 0, -258
"d:\Lenovo\Documents\Project2CP\dist\views\emails\baseEmail.pug", "Pug", 0, 0, 0, -36, -3, -6, -45
"d:\Lenovo\Documents\Project2CP\dist\views\emails\passwordReset.pug", "Pug", 0, 0, 0, -6, 0, -2, -8
"d:\Lenovo\Documents\Project2CP\dist\views\emails\verifyEmail.pug", "Pug", 0, 0, 0, -17, 0, -1, -18
"d:\Lenovo\Documents\Project2CP\dist\views\emails\welcome.pug", "Pug", 0, 0, 0, -16, 0, -1, -17
"d:\Lenovo\Documents\Project2CP\dist\views\error.pug", "Pug", 0, 0, 0, -8, 0, -1, -9
"d:\Lenovo\Documents\Project2CP\dist\views\login.pug", "Pug", 0, 0, 0, -14, 0, -1, -15
"d:\Lenovo\Documents\Project2CP\dist\views\overview.pug", "Pug", 0, 0, 0, -41, 0, -5, -46
"d:\Lenovo\Documents\Project2CP\dist\views\tour.pug", "Pug", 0, 0, 0, -76, -1, -16, -93
"d:\Lenovo\Documents\Project2CP\nodemon.json", "JSON", 0, -5, 0, 0, 0, 0, -5
"d:\Lenovo\Documents\Project2CP\package.json", "JSON", 0, -66, 0, 0, 0, -1, -67
"d:\Lenovo\Documents\Project2CP\tsconfig.json", "JSON with Comments", -10, 0, 0, 0, -14, -2, -26
"Total", "-", -10, -71, -6454, -581, -1644, -49, -8809
