Date : 2024-05-03 20:40:25
Directory : d:\Lenovo\Documents\Project2CP
Total : 258 files,  11705 codes, 2430 comments, 933 blanks, all 15068 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\dashboard1model.ts                                  | TypeScript         |        160 |         22 |         24 |        206 |
| d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\dashboard2models.ts                                 | TypeScript         |        182 |         30 |         22 |        234 |
| d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\dashboard3models.ts                                 | TypeScript         |        179 |         30 |         22 |        231 |
| d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\dealDashboard.ts                                    | TypeScript         |         52 |          3 |          6 |         61 |
| d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\generalDonutChart.ts                                | TypeScript         |         64 |         66 |         12 |        142 |
| d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\postDashboard.ts                                    | TypeScript         |         40 |          9 |          7 |         56 |
| d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\reviewDashboard.ts                                  | TypeScript         |         41 |          3 |          7 |         51 |
| d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\test.ts                                             | TypeScript         |          0 |         59 |          1 |         60 |
| d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\userDashboard.ts                                    | TypeScript         |         48 |          3 |          7 |         58 |
| d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\workerDashboard.ts                                  | TypeScript         |         64 |          3 |          9 |         76 |
| d:\Lenovo\Documents\Project2CP\src\controller\dealController.ts                                                       | TypeScript         |         33 |          0 |          2 |         35 |
| d:\Lenovo\Documents\Project2CP\src\controller\dealController\checkOwnerDeal.ts                                        | TypeScript         |         40 |          2 |          5 |         47 |
| d:\Lenovo\Documents\Project2CP\src\controller\dealController\createDeal.ts                                            | TypeScript         |         45 |          0 |          7 |         52 |
| d:\Lenovo\Documents\Project2CP\src\controller\dealController\finishDeal.ts                                            | TypeScript         |         43 |          0 |          9 |         52 |
| d:\Lenovo\Documents\Project2CP\src\controller\dealController\getMyDeals.ts                                            | TypeScript         |         36 |         14 |          6 |         56 |
| d:\Lenovo\Documents\Project2CP\src\controller\dealController\updateDeal.ts                                            | TypeScript         |         30 |          0 |          3 |         33 |
| d:\Lenovo\Documents\Project2CP\src\controller\errorController.ts                                                      | TypeScript         |         76 |         26 |         15 |        117 |
| d:\Lenovo\Documents\Project2CP\src\controller\handlerFactory.ts                                                       | TypeScript         |         65 |         16 |          9 |         90 |
| d:\Lenovo\Documents\Project2CP\src\controller\portfolioPostController.ts\checkOwnerPortfolioPost.ts                   | TypeScript         |         19 |          0 |          2 |         21 |
| d:\Lenovo\Documents\Project2CP\src\controller\portfolioPostController.ts\createPortfolioPost.ts                       | TypeScript         |         28 |          0 |          3 |         31 |
| d:\Lenovo\Documents\Project2CP\src\controller\portfolioPostController.ts\deletePortfolioPost.ts                       | TypeScript         |         27 |          2 |          2 |         31 |
| d:\Lenovo\Documents\Project2CP\src\controller\portfolioPostController.ts\getPortfolioPostById.ts                      | TypeScript         |         89 |          0 |         11 |        100 |
| d:\Lenovo\Documents\Project2CP\src\controller\portfolioPostController.ts\likePortfolioPost.ts                         | TypeScript         |         39 |          1 |          2 |         42 |
| d:\Lenovo\Documents\Project2CP\src\controller\portfolioPostController.ts\updatePortfolioPost.ts                       | TypeScript         |         89 |          4 |          3 |         96 |
| d:\Lenovo\Documents\Project2CP\src\controller\postController.ts                                                       | TypeScript         |         19 |          0 |          3 |         22 |
